planner,loss,split,variant,logs,states_failed,states,affected,v_pos,v_neg,harm_rate,rho,all_full_reduction,oracle20_reduction,selective_extra_share,all_cheap_cost,all_full_cost,harm_rate_lo,harm_rate_hi,harm_rate_finite_draws,rho_lo,rho_hi,rho_finite_draws,all_full_reduction_lo,all_full_reduction_hi,all_full_reduction_finite_draws,oracle20_reduction_lo,oracle20_reduction_hi,oracle20_reduction_finite_draws
pdm_closed,collision,all,transported,34,0,1440,35,27,8,0.22857142857142856,0.2962962962962963,0.17592592592592593,0.25,0.2962962962962963,108.0,89.0,0.09993902439024391,0.38240950226244336,1000,0.11103603603603604,0.6191964285714284,1000,0.06479700854700854,0.33341346153846146,1000,0.15925710293432696,0.40306669776119397,1000
pdm_closed,clearance_shortfall,all,transported,34,0,1440,70,44,26,0.37142857142857144,0.3484026883434352,0.06787374906627416,0.10416517663910842,0.348402688343436,261.3654065074318,243.62555649154166,0.24549220272904482,0.5074879838097648,1000,0.15917122938588135,0.7078961034571567,1000,0.019260874236437433,0.12685042614283537,1000,0.05964185782396035,0.15825679975749238,1000
pdm_closed,log_deviation,all,transported,34,0,1440,175,122,53,0.3028571428571429,0.22430790189216382,0.038106912908291435,0.04912633891881369,0.22430790189215985,3575.934477898384,3439.666654183354,0.14930445151033386,0.501788752407127,1000,0.09934472845099043,0.5281092491027742,1000,0.014164978900604816,0.06407793159805308,1000,0.026016720194370117,0.07480259345235814,1000
pdm_closed,safety,all,transported,34,0,1440,70,44,26,0.37142857142857144,0.30314201658535617,0.147148570476397,0.21116005553292316,0.3031420165853563,1472.0481097611478,1255.4383347373125,0.24549220272904482,0.5074879838097648,1000,0.11815000817021733,0.6323423713674275,1000,0.05092060430977472,0.2689144542989786,1000,0.13302642171566106,0.3262903011325653,1000
pdm_closed,scalar_J,all,transported,34,0,1440,175,122,53,0.3028571428571429,0.29685744953136295,0.12583697415766773,0.17896367397165572,0.29685744953136245,1829.6415575509864,1599.405000155648,0.15972850678733033,0.47620879120879117,1000,0.12360259136695709,0.6091928258347774,1000,0.045285139243528574,0.22001679458758885,1000,0.11261085762268348,0.26529738793578533,1000
pdm_closed,collision,test,transported,9,0,384,9,9,0,0.0,0.0,0.34615384615384615,0.34615384615384615,0.0,26.0,17.0,0.0,0.0,1000,0.0,0.0,993,0.09090909090909091,0.6111111111111112,1000,0.09090909090909091,0.6111111111111112,1000
pdm_closed,clearance_shortfall,test,transported,9,0,384,11,11,0,0.0,0.0,0.17517080198956783,0.17517080198956783,0.0,46.93384850814743,38.71240862451836,0.0,0.0,1000,0.0,0.0,993,0.04364227387113732,0.38133423064366395,1000,0.043642273871137144,0.38133423064366384,1000
pdm_closed,log_deviation,test,transported,9,0,384,42,30,12,0.2857142857142857,0.09298204554312255,0.07249311780180165,0.07992467783640561,0.09298204554312128,704.6372052919196,653.5558573611602,0.07142857142857142,0.6363636363636364,1000,0.027300699250785855,0.6898496513062453,997,0.002848394355486427,0.13694769059446013,1000,0.008481904945941882,0.14485205823633163,1000
pdm_closed,safety,test,transported,9,0,384,11,11,0,0.0,0.0,0.3097213089725089,0.309721308972509,3.5845871512951035e-16,330.4007727622211,228.06861293677753,0.0,0.0,1000,0.0,0.0,993,0.08632852923829351,0.5493986310878753,1000,0.08632852923829351,0.5493986310878753,1000
pdm_closed,scalar_J,test,transported,9,0,384,42,30,12,0.2857142857142857,0.004850279833527506,0.2680214796185865,0.2693277947902663,0.004850279833527954,400.86449329141305,293.42419867289357,0.07142857142857142,0.6363636363636364,1000,0.0012118407244149623,0.014142587212499785,997,0.0746604241827809,0.46352932551579684,1000,0.07608404963144103,0.46460088042110387,1000
